Long,Lat,Name,Date,Size,Type,Symbol,Details,DateTime,Location1,Electaion,Height,Delivery,Purpose,Sponsor,Yield,x_coord,y_coord,Notes,field,Nuclear,URL
165.26708000000000,11.697040000000100,USA: Hardtack I / Poplar,12 Jul 1958,9Mt,Nuclear testing database/USA's Tests/Hardtack I Series/USA: Hardtack I/Poplar/USA: Hardtack I ,7,USA: Hardtack I / Poplar,12 Jul 1958  03:00:30.1 UTC,"Bikini,  Namu (Charlie) ",0m,3m,Barge,Weapon Development,Sponsor: UCRL,9Mt,165.26708,11.69704,Device: TX-41Highest test of the Dominic Series,5th largest U.S. test overall,Yes,http://en.wikipedia.org/wiki/Operation_Hardtack_I
162.10259000000000,11.603090000000100,USA: Hardtack I / Oak,28 Jun 1958,9Mt,Nuclear testing database/USA's Tests/Hardtack I Series/USA: Hardtack I/Oak/USA: Hardtack I ,7,USA: Hardtack I / Oak,28 Jun 1958  19:00:30.1 UTC,"Enewetak,  Bogallua (Alice) ",0m,1.8m,Barge,Weapon Development,Sponsor: LASL,9Mt,162.10259,11.60309,Device: TX-46/53In 4 meters of water.  Similar to Butternut and Yellowwood. Crater 1750x80 m.,,Yes,http://en.wikipedia.org/wiki/Operation_Hardtack_I
41.03800000000010,65.99400000000000,USSR: 1985 / 666 Agat,18 Jul 1985,9kt,Nuclear testing database/USSR's Tests/1985 Series/USSR: 1985/666 Agat/USSR: 1985,4,USSR: 1985 / 666 Agat  Plowshare,18 Jul 1985  21:00:15.3 UTC,Russia: ? ,,-770m,Underground shaft,Seismic sounding,,9kt,41.038,65.994,Seismic probing program.,,Yes,
48.09263000000000,61.35986000000010,USSR: 1988 / 700 Rubin 1,6 Sep 1988,9kt,Nuclear testing database/USSR's Tests/1988 Series/USSR: 1988/700 Rubin 1/USSR: 1988,4,USSR: 1988 / 700 Rubin 1  Plowshare,6 Sep 1988  16:19:59.9 UTC,"Russia,  Archangelsk area: RN-1",,-800m,Underground shaft,Seismic sounding,,9kt,48.09263,61.35986,Seismic probing program.,,Yes,
56.200000000000000,47.60000000000010,USSR: 1987 / 686 Batolit 2,3 Oct 1987,9kt,Nuclear testing database/USSR's Tests/1987 Series/USSR: 1987/686 Batolit 2/USSR: 1987,4,USSR: 1987 / 686 Batolit 2  Plowshare,3 Oct 1987  15:00:15.0 UTC,Kazakhstan: BT-2,,-1000m,Underground shaft,Seismic sounding,,9kt,56.2,47.6,Seismic probing program.,,Yes,
72.10000000000010,61.900000000000000,USSR: 1984 / 643 Kvarts 3,25 Aug 1984,9kt,Nuclear testing database/USSR's Tests/1984 Series/USSR: 1984/643 Kvarts 3/USSR: 1984,4,USSR: 1984 / 643 Kvarts 3  Plowshare,25 Aug 1984  19:00:00.3 UTC,"Russia,  Tuyman area: K-3",,-725m,Underground shaft,Seismic sounding,,9kt,72.1,61.9,Seismic probing program.,,Yes,
91.80000000000010,64.35000000000010,USSR: 1982 / 597 Rift 4,25 Sep 1982,9kt,Nuclear testing database/USSR's Tests/1982 Series/USSR: 1982/597 Rift 4/USSR: 1982,4,USSR: 1982 / 597 Rift 4  Plowshare,25 Sep 1982  18:00:00.2 UTC,"Russia,  Krasnoyarsk: RF-4",,-550m,Underground shaft,Seismic sounding,,9kt,91.8,64.35,Seismic probing program.,,Yes,
99.55800000000010,64.10800000000010,USSR: 1977 / 466 Meteorit 3,20 Aug 1977,9kt,Nuclear testing database/USSR's Tests/1977 Series/USSR: 1977/466 Meteorit 3/USSR: 1977,4,USSR: 1977 / 466 Meteorit 3  Plowshare,20 Aug 1977  22:00:00.8 UTC,"Russia,  Krasnoyarsk: M3",,-600m,Underground shaft,Seismic sounding,,9kt,99.558,64.108,Seismic probing program.,,Yes,
99.56200000000010,64.11000000000010,USSR: 1979 / 529 Kimberlit 3,6 Sep 1979,9kt,Nuclear testing database/USSR's Tests/1979 Series/USSR: 1979/529 Kimberlit 3/USSR: 1979,4,USSR: 1979 / 529 Kimberlit 3  Plowshare,6 Sep 1979  18:00:00.3 UTC,"Russia,  Krasnoyarsk: KM-3",,-600m,Underground shaft,Seismic sounding,,9kt,99.562,64.11,Seismic probing program.,,Yes,
104.15000000000000,53.80000000000010,USSR: 1982 / 592 Rift 3,30 Jul 1982,9kt,Nuclear testing database/USSR's Tests/1982 Series/USSR: 1982/592 Rift 3/USSR: 1982,4,USSR: 1982 / 592 Rift 3,30 Jul 1982  21:00:00.0 UTC,Russia: RF-3,,-860m,Underground shaft,Seismic sounding,,9kt,104.15,53.8,Seismic probing program.,,Yes,
110.98300000000000,50.95500000000000,USSR: 1977 / 464 Meteorit 5,10 Aug 1977,9kt,Nuclear testing database/USSR's Tests/1977 Series/USSR: 1977/464 Meteorit 5/USSR: 1977,4,USSR: 1977 / 464 Meteorit 5  Plowshare,10 Aug 1977  22:00:00.1 UTC,Russia: M5,,-490m,Underground shaft,Seismic sounding,,9kt,110.983,50.955,Seismic probing program.,,Yes,
